20190808,00022101,0,0,2019/09/10 16:00:22,0,108000,0,.,0,0,0
20190810,00022101,0,0,2019/09/10 16:00:22,0,87000,0,.,0,0,0
20190814,00022101,0,0,2019/09/10 16:00:22,0,108000,0,.,0,0,0
20190817,00022101,0,0,2019/09/10 16:00:22,0,143000,0,.,0,0,0
20190818,00022101,0,0,2019/09/10 16:00:22,0,183000,0,.,0,0,0
20190819,00022101,0,0,2019/09/10 16:00:22,0,50000,0,.,0,0,0
20190822,00022101,0,0,2019/09/10 16:00:22,0,55000,0,.,0,0,0
20190824,00022101,0,0,2019/09/10 16:00:22,0,37000,0,.,0,0,0
20190825,00022101,0,0,2019/09/10 16:00:22,0,25000,0,.,0,0,0
20190904,00022101,0,5,2019/09/10 16:00:22,129240,247400,247400,.,0,0,6
20190904,00023101,0,3,2019/09/10 16:00:22,193120,69000,69000,.,0,0,3
20190904,00023102,0,13,2019/09/10 16:00:22,536900,0,0,.,9,444300,20
20190904,00024101,0,8,2019/09/10 16:00:22,304400,0,0,.,3,68800,12
20190904,00028101,0,47,2019/09/10 16:00:22,277500,0,0,.,0,0,47
